Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB WRitten,Total Logical Size in  Gib,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
10.26.1.78-admin-Phoenix,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-Public,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Risk-Compliance,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Security-Guards,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-admin-Underwriting,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-users,kGenericNas,,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 12:19:01
10.26.1.78-Executive,kGenericNas,This is a test of the description.  Some of the text will get cut off,11292021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,11-29-2021 10:30:01,11-29-2021 10:47:46,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 10:30:01
share,kView,,11292021,Savage_replicate,14,No extended retention,['share'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2014PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2014PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2015PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2015PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2016PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2016PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
