0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status
10.26.1.78-admin-Underwriting,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,11-18-2021 12:19:01,11-18-2021 12:36:48,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-users,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,11-18-2021 12:19:01,11-18-2021 12:36:47,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-Executive,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,11-19-2021 10:30:00,11-19-2021 10:47:45,0,0,AshishCluster,kFailure,kFailure
share,kView,,Savage_replicate,14,No extended retention,['share'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2014PRD,kView,,Savage_replicate,14,No extended retention,['IR2014PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2015PRD,kView,,Savage_replicate,14,No extended retention,['IR2015PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2016PRD,kView,,Savage_replicate,14,No extended retention,['IR2016PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2017PRD,kView,,Savage_replicate,14,No extended retention,['IR2017PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2018PRD,kView,,Savage_replicate,14,No extended retention,['IR2018PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2019PRD,kView,,Savage_replicate,14,No extended retention,['IR2019PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
