Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
10.26.1.78-fccitest-03,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-03'],False,11-20-2021 11:02:00,11-20-2021 11:19:51,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:02:00
10.26.1.78-fccitest-04,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-04'],False,11-20-2021 11:02:00,11-20-2021 11:19:47,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:02:00
10.26.1.78-dtcctest,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\dtcctest'],False,11-20-2021 16:56:01,11-20-2021 17:13:44,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 16:56:02
fccitest-02,kView,,Savage_replicate,14,No extended retention,['fccitest-02'],False,11-20-2021 09:10:00,11-20-2021 09:10:05,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 10:15:36
fccitest-03,kView,,Savage_replicate,14,No extended retention,['fccitest-03'],False,11-20-2021 09:10:00,11-20-2021 09:10:05,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 09:10:02
fccitest-04,kView,,Savage_replicate,14,No extended retention,['fccitest-04'],False,11-20-2021 09:10:00,11-20-2021 09:10:05,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 09:10:02
10.26.1.78-share,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\share'],False,11-20-2021 18:31:00,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:31:00
10.26.1.78-IR2014PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2014PRD'],False,11-20-2021 18:31:00,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:31:00
10.26.1.78-IR2015PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2015PRD'],False,11-20-2021 18:31:00,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:31:00
10.26.1.78-IR2016PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2016PRD'],False,11-20-2021 18:31:00,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:31:00
10.26.1.78-IR2017PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2017PRD'],False,11-20-2021 18:31:00,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:31:00
10.26.1.78-IR2018PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2018PRD'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-IR2019PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2019PRD'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-IR2020PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2020PRD'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-IR2021PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2021PRD'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-EIPIR,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPIR'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-EIPPROD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPPROD'],False,11-20-2021 18:32:01,Job not started,0,0,No Replicatoin Cluster,kRunning,kFailure,11-19-2021 18:32:02
10.26.1.78-admin-Applications,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Applications'],False,11-20-2021 12:18:01,11-20-2021 12:35:49,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:18:00
10.26.1.78-admin-Claims,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Claims'],False,11-20-2021 12:18:01,11-20-2021 12:35:44,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:18:00
10.26.1.78-DW,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\DW'],False,11-20-2021 12:18:01,11-20-2021 12:35:46,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:18:00
