0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB Written,Total Logical Size in  GiB,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time,Previous Job End Time,Previous Total GiB Written
10.26.1.78-admin-Applications,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Applications'],False,11-29-2021 12:18:00,11-29-2021 12:35:47,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:18:02,11-28-2021 12:35:47,0.0
10.26.1.78-admin-Claims,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Claims'],False,11-29-2021 12:18:00,11-29-2021 12:35:45,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:18:02,11-28-2021 12:35:49,0.0
10.26.1.78-DW,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\DW'],False,11-29-2021 12:18:00,11-29-2021 12:35:42,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:18:02,11-28-2021 12:35:46,0.0
10.26.1.78-EA,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EA'],False,11-29-2021 12:18:00,11-29-2021 12:35:45,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0
10.26.1.78-admin-Finance,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Finance'],False,11-29-2021 12:18:00,11-29-2021 12:35:45,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:18:02,11-28-2021 12:35:51,0.0
10.26.1.78-Governanace,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Governanace'],False,11-29-2021 12:19:01,11-29-2021 12:36:49,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0
10.26.1.78-admin-IntOps,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,11-29-2021 12:19:01,11-29-2021 12:36:49,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:57,0.0
10.26.1.78-IT,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,11-29-2021 12:19:01,11-29-2021 12:36:51,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0
10.26.1.78-admin-Phoenix,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,11-29-2021 12:19:01,11-29-2021 12:36:46,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0
10.26.1.78-admin-Public,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,11-29-2021 12:19:01,11-29-2021 12:36:51,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:37:00,0.0
10.26.1.78-Risk-Compliance,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,11-29-2021 12:19:01,11-29-2021 12:36:50,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0
10.26.1.78-Security-Guards,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,11-29-2021 12:19:01,11-29-2021 12:36:46,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0
10.26.1.78-admin-Underwriting,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,11-29-2021 12:19:01,11-29-2021 12:36:46,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0
10.26.1.78-users,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,11-29-2021 12:19:01,11-29-2021 12:36:46,0.0,0.0,0.0,AshishCluster,kFailure,kFailure,11-28-2021 12:19:00,11-28-2021 12:36:54,0.0
10.26.1.78-Executive,kGenericNas,This is a test of the description.  Some of the text will get cut off,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,11-29-2021 10:30:01,11-29-2021 10:47:46,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-28-2021 10:30:01,11-28-2021 10:47:46,0.0
share,kView,,11-29-2021,Savage_replicate,14,No extended retention,['share'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2014PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2014PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2015PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2015PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2016PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2016PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2017PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2017PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2018PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2018PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2019PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2019PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2020PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2020PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
IR2021PRD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IR2021PRD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
EIPIR,kView,,11-29-2021,Savage_replicate,14,No extended retention,['EIPIR'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
EIPPROD,kView,,11-29-2021,Savage_replicate,14,No extended retention,['EIPPROD'],False,11-29-2021 12:44:02,11-29-2021 12:44:07,0.0,0,0.0,AshishCluster,kSuccess,kSuccess,11-28-2021 12:44:01,11-28-2021 12:44:06,0
Applications,kView,Description should be printed correctly ,11-29-2021,Savage_replicate,14,No extended retention,['Applications'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
admin-Claims,kView,,11-29-2021,Savage_replicate,14,No extended retention,['admin-Claims'],False,11-29-2021 11:04:42,11-29-2021 11:04:47,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 12:47:00,11-28-2021 12:47:05,0
DW,kView,,11-29-2021,Savage_replicate,14,No extended retention,['DW'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
EA,kView,,11-29-2021,Savage_replicate,14,No extended retention,['EA'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Executive,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Executive'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Finance,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Finance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Governanace,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Governanace'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
IntOps,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IntOps'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
IT,kView,,11-29-2021,Savage_replicate,14,No extended retention,['IT'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
admin-Phoenix,kView,,11-29-2021,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Public,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Public'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Risk-Compliance,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Security-Guards,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Security-Guards'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
Underwriting,kView,,11-29-2021,Savage_replicate,14,No extended retention,['Underwriting'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
users,kView,,11-29-2021,Savage_replicate,14,No extended retention,['users'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01,11-27-2021 12:47:06,0
dttc_test3,kPhysical,,11-29-2021,Bronze,30,90,['10.26.1.78'],False,11-28-2021 15:14:00,11-28-2021 15:25:13,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-27-2021 15:14:01,11-27-2021 15:25:15,0.0
WinDevtest,kPhysical,,11-29-2021,Protect Once,14,No extended retention,['10.26.0.91'],False,11-24-2021 04:00:33,11-24-2021 04:08:43,19.865535736083984,0.45164053328335285,99.9970703125,No Replicatoin Cluster,kSuccess,No Previous Run Found,,,
Test,kPhysical,,11-29-2021,Bronze,30,90,['10.26.0.91'],False,11-29-2021 05:13:00,11-29-2021 05:14:08,0.614990234375,0.18294266611337662,99.9970703125,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 05:13:02,11-28-2021 05:13:55,0.1422406444326043
testDevShare0,kIsilon,,11-29-2021,COLO-SMB_DS_DAILY,14,No extended retention,['/ifs/testDev/testDev0'],False,11-29-2021 06:57:13,11-29-2021 07:06:00,2.8293579816818237e-05,1.0058283805847168e-05,4.2440369725227356e-05,No Replicatoin Cluster,kSuccess,kCanceled,11-29-2021 06:52:44,11-29-2021 06:56:32,0.0
viewDevProtect,kView,,11-29-2021,viewDevPolicy,14,No extended retention,['viewDev'],False,11-29-2021 04:00:00,11-29-2021 04:00:04,0.0,0,0.0,No Replicatoin Cluster,kSuccess,No Previous Run Found,,,
